Mass_ID,Isobar,Stage1_hit,Stage2_hit,Hash,Hex,HexNAc,Neu5Ac,Fuc,NCore,DM1,MCC,Exp. Mass,Theo. Mass,Da,ppm,ch_A,ch_B,Abundance,Permutations,Permutation abundance
119,6032,0,0,8712523660057823200,0,0,0,0,7,3,1,154506.24478,154510.69280000002,-4.448020000010729,-28.7877810875412,Unglycosylated,Unglycosylated,0.15629683664529942,1,0.15629683664529942
119,6032,4,0,5136914833615924677,9,6,0,0,4,3,1,154506.24478,154510.69280000002,-4.448020000010729,-28.7877810875412,A2G0,M6,0.11381650906832966,2,0.22763301813665932
119,6032,4,1,-2297332500028529714,9,6,0,0,4,3,1,154506.24478,154510.69280000002,-4.448020000010729,-28.7877810875412,M5,A2G1,0.4410092710455529,2,0.8820185420911058
119,6032,4,2,-2297332500028529714,9,6,0,0,4,3,1,154506.24478,154510.69280000002,-4.448020000010729,-28.7877810875412,A2G1,M5,0.4410092710455529,2,0.8820185420911058
119,6032,4,3,5136914833615924677,9,6,0,0,4,3,1,154506.24478,154510.69280000002,-4.448020000010729,-28.7877810875412,M6,A2G0,0.11381650906832966,2,0.22763301813665932
119,6033,1,0,759381464316185159,6,6,0,2,1,6,1,154506.24478,154510.70660000003,-4.461820000025909,-28.87709271550188,A1G0F,A1G0F,3.490736747339956,1,3.490736747339956
119,6033,2,0,-3229609708451557070,9,8,0,2,0,6,1,154506.24478,154510.70660000003,-4.461820000025909,-28.87709271550188,A2G1F,A2G2F,7.088342851200813,2,14.176685702401626
119,6033,2,1,-3229609708451557070,9,8,0,2,0,6,1,154506.24478,154510.70660000003,-4.461820000025909,-28.87709271550188,A2G2F,A2G1F,7.088342851200813,2,14.176685702401626
119,6038,1,0,8832368063389986666,6,8,0,2,4,3,0,154506.24478,154501.69180000003,4.552979999978561,29.468803525286447,A2G0F,A2G0F,49.95701021456956,1,49.95701021456956
119,6039,1,0,-5636172348269498355,6,6,0,0,8,0,0,154506.24478,154501.678,4.5667799999937415,29.55812557578657,A1G0,A1G0,0.22240956488795538,1,0.22240956488795538
119,6039,2,0,2178225571527952377,3,4,0,0,9,0,0,154506.24478,154501.678,4.5667799999937415,29.55812557578657,A2G0,Unglycosylated,0.3800313946857787,2,0.7600627893715574
